iter	Passed	Remaining
709	4679	1911
710	4686	1904
711	4692	1898
712	4698	1891
713	4704	1884
714	4710	1877
715	4716	1870
716	4723	1864
717	4729	1857
718	4735	1850
719	4741	1844
720	4748	1837
721	4754	1830
722	4760	1823
723	4766	1817
724	4772	1810
725	4778	1803
726	4784	1796
727	4791	1790
728	4797	1783
729	4803	1776
730	4809	1769
731	4815	1763
732	4822	1756
733	4828	1749
734	4834	1743
735	4841	1736
736	4847	1729
737	4854	1723
738	4860	1716
739	4867	1710
740	4873	1703
741	4879	1696
742	4885	1690
743	4892	1683
744	4899	1676
745	4906	1670
746	4912	1663
747	4918	1657
748	4925	1650
749	4931	1643
750	4938	1637
751	4945	1630
752	4951	1624
753	4957	1617
754	4964	1610
755	4970	1604
756	4976	1597
757	4982	1590
758	4988	1583
759	4995	1577
760	5002	1571
761	5009	1564
762	5015	1557
763	5021	1551
764	5027	1544
765	5034	1537
766	5040	1531
767	5046	1524
768	5053	1518
769	5060	1511
770	5068	1505
771	5075	1498
772	5081	1492
773	5087	1485
774	5093	1478
775	5100	1472
776	5106	1465
777	5113	1459
778	5120	1452
779	5126	1445
780	5132	1439
781	5139	1432
782	5145	1425
783	5152	1419
784	5160	1413
785	5166	1406
786	5172	1400
787	5179	1393
788	5185	1386
789	5191	1380
790	5197	1373
791	5204	1366
792	5210	1360
793	5217	1353
794	5223	1346
795	5229	1340
796	5235	1333
797	5241	1326
798	5247	1320
799	5253	1313
800	5260	1306
801	5267	1300
802	5273	1293
803	5279	1287
804	5285	1280
805	5291	1273
806	5297	1267
807	5303	1260
808	5310	1253
809	5317	1247
810	5324	1240
811	5331	1234
812	5337	1227
813	5343	1220
814	5349	1214
815	5355	1207
816	5362	1201
817	5368	1194
818	5375	1187
819	5382	1181
820	5388	1174
821	5395	1168
822	5401	1161
823	5408	1155
824	5414	1148
825	5420	1141
826	5427	1135
827	5433	1128
828	5439	1122
829	5445	1115
830	5452	1108
831	5458	1102
832	5464	1095
833	5470	1088
834	5476	1082
835	5482	1075
836	5489	1068
837	5495	1062
838	5501	1055
839	5507	1049
840	5513	1042
841	5519	1035
842	5526	1029
843	5532	1022
844	5538	1015
845	5544	1009
846	5550	1002
847	5557	996
848	5563	989
849	5569	982
850	5575	976
851	5581	969
852	5587	962
853	5593	956
854	5599	949
855	5605	943
856	5611	936
857	5617	929
858	5623	923
859	5629	916
860	5634	909
861	5641	903
862	5646	896
863	5652	889
864	5658	883
865	5663	876
866	5669	869
867	5675	863
868	5681	856
869	5687	849
870	5692	843
871	5698	836
872	5704	829
873	5710	823
874	5715	816
875	5721	809
876	5727	803
877	5732	796
878	5738	789
879	5743	783
880	5749	776
881	5755	769
882	5760	763
883	5766	756
884	5772	750
885	5778	743
886	5783	736
887	5789	730
888	5795	723
889	5800	716
890	5806	710
891	5812	703
892	5818	697
893	5824	690
894	5829	683
895	5835	677
896	5841	670
897	5847	664
898	5853	657
899	5859	651
900	5864	644
901	5870	637
902	5876	631
903	5882	624
904	5888	618
905	5894	611
906	5899	604
907	5905	598
908	5911	591
909	5917	585
910	5923	578
911	5929	572
912	5934	565
913	5940	558
914	5946	552
915	5951	545
916	5957	539
917	5963	532
918	5968	526
919	5974	519
920	5980	512
921	5986	506
922	5992	499
923	5998	493
924	6004	486
925	6010	480
926	6016	473
927	6023	467
928	6029	460
929	6035	454
930	6040	447
931	6046	441
932	6052	434
933	6058	428
934	6064	421
935	6070	415
936	6075	408
937	6081	401
938	6087	395
939	6093	388
940	6099	382
941	6105	375
942	6111	369
943	6117	362
944	6124	356
945	6130	349
946	6136	343
947	6142	336
948	6149	330
949	6155	323
950	6161	317
951	6167	310
952	6174	304
953	6180	298
954	6186	291
955	6193	285
956	6199	278
957	6205	272
958	6211	265
959	6218	259
960	6224	252
961	6231	246
962	6237	239
963	6243	233
964	6249	226
965	6255	220
966	6261	213
967	6268	207
968	6274	200
969	6280	194
970	6287	187
971	6293	181
972	6299	174
973	6306	168
974	6312	161
975	6318	155
976	6324	148
977	6331	142
978	6337	135
979	6343	129
980	6350	122
981	6356	116
982	6362	110
983	6368	103
984	6374	97
985	6380	90
986	6386	84
987	6392	77
988	6398	71
989	6405	64
990	6411	58
991	6417	51
992	6423	45
993	6429	38
994	6435	32
995	6441	25
996	6447	19
997	6453	12
998	6459	6
999	6464	0
